timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes
2026-01-01T12:00:01,10.0.0.5,192.168.1.10,49152,443,TCP,42,51820
2026-01-01T12:00:03,10.0.0.7,192.168.1.10,49201,80,TCP,18,9600
2026-01-01T12:00:07,10.0.1.12,192.168.1.22,53211,53,UDP,4,512
2026-01-01T12:00:12,10.0.0.5,192.168.1.30,49153,22,TCP,120,86400
2026-01-01T12:00:15,10.0.2.9,192.168.1.10,50000,443,TCP,65,74200
2026-01-01T12:00:21,10.0.1.12,192.168.1.22,53212,53,UDP,6,720
2026-01-01T12:00:26,10.0.3.4,192.168.1.45,49500,445,TCP,310,412000
2026-01-01T12:00:31,10.0.0.7,192.168.1.10,49202,80,TCP,22,11800
2026-01-01T12:00:38,10.0.3.4,192.168.1.46,49501,445,TCP,290,388000
2026-01-01T12:00:44,10.0.2.9,192.168.1.60,50001,3389,TCP,150,192000
